d,e,t,e,c,t,e,d, ,a,n,o,m,a,l,i,e,s
t,o,t,a,l, ,t,r,a,i,l
t,o,t,a,l, ,i,n,s,t,a,n,c,e,s
t,o,t,a,l, ,a,n,o,m,a,l,i,e,s
1,2,296,4
2,3,318,5
2,4,332,5
3,5,370,6
4,6,552,10
5,7,576,12
6,8,600,13
6,9,606,13
6,10,655,13
6,11,744,14
6,12,748,14
7,13,785,15
8,14,790,16
9,15,871,18
10,16,874,19
11,17,911,21
12,18,1072,22
13,19,1077,23
14,20,1213,26
14,21,1252,26
14,22,1270,26
15,23,1288,27
16,24,1310,28
17,25,1314,29
17,26,1401,29
18,27,1425,31
18,28,1528,31
19,29,1537,32
20,30,1575,34
21,31,1687,35
22,32,1726,36
23,33,1771,37
23,34,1787,37
24,35,1802,38
25,36,1908,39
26,37,1970,40
27,38,1988,42
28,39,2052,44
29,40,2139,45
30,41,2423,48
31,42,2433,49
32,43,2523,51
32,44,2536,51
32,45,2546,51
33,46,2550,52
34,47,2650,53
35,48,2761,56
36,49,2815,57
37,50,2934,59
38,51,2952,60
39,52,3024,61
40,53,3055,62
40,54,3072,62
41,55,3097,63
42,56,3242,65
42,57,3253,65
43,58,3264,66
44,59,3265,67
45,60,3328,68
46,61,3343,69
47,62,3483,74
48,63,3501,75
49,64,3526,76
50,65,3566,77
51,66,3589,79
52,67,3602,80
53,68,3662,83
54,69,3700,84
55,70,3705,85
56,71,3718,86
56,72,3771,86
